,stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,gg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,gg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bet,Book,Date,Market,Other    ,LineTaken   ,Edge  ,Ignore,TrueL,Decim,Betsize    ,Sport,,Opp,Total Stake,Rich Stake,Other Stake,Grade,CloseLine    ,CloseOther    ,Ignore,CloseEdge,Trueline,Net,ExpWinPlace,Date,RunExpWinPlace,RunNet,Bankroll,Kelly,Time,PIN M,PIN M$,PIN O,PIN O$,BM M,BM O,PM M,PM M$,PM O,PM O$,ST M,ST M$,ST O,ST O$,KAL M,KAL M$,KAL O,KAL O$,FD M,FD O,BOL M,BOL O,BOV M,BOV O,NV M,NV M$,NV O,NV O$,PX M,PX M$,PX O,PX O$,CZR M,CZR O,BM M$,BM O$,DK M,DK O,4C M,4C M$,4C O,4C O$
Las Vegas Raiders ml L,MBmb,1/4/2026,-322,285,-220,8.52%,5.85%,-293.7677725,1.455,#REF!,NFL,moneyline,Kansas City Chiefs,,"$7,500.00 ",$0.00 ,W,,,,,,"$3,409.09 ",$638.65 ,1/4/2026 0:00,#REF!,#REF!,#REF!,#REF!,2026:01:04:18:59:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New England Patriots -28.5 L,FDmb,1/4/2026,210,-280,360,40.06%,8.71%,228.4210526,4.6,#REF!,Football,spread,Miami Dolphins,,$135.00 ,$0.00 ,L,,,,,,$135.00 ,$54.09 ,1/4/2026 0:00,#REF!,#REF!,#REF!,#REF!,2026:01:04:19:00:18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philadelphia Eagles ml L,FDmb,1/4/2026,4500,-5000,5500,21.48%,0.38%,4509.803922,56,#REF!,Football,moneyline,Washington Commanders,,$15.00 ,$0.00 ,L,,,,,,$15.00 ,$3.22 ,1/4/2026 0:00,#REF!,#REF!,#REF!,#REF!,2026:01:04:19:20:47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pittsburgh Steelers ml L,MBrb,1/4/2026,285,-350,450,37.69%,6.85%,299.4444444,5.5,#REF!,NFL,moneyline,Baltimore Ravens,"$6,700.00 ","$4,690.00 ","$4,690.00 ",W,,,,,,"$21,105.00 ","$1,767.72 ",1/4/2026 0:00,#REF!,#REF!,#REF!,#REF!,2026:01:04:23:18:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sacramento Kings +16.5 L,LVti,1/4/2026,-112,107,100,4.47%,2.24%,-109.3584906,2,#REF!,NBA,spread,Milwaukee Bucks,"$1,000.00 ",$700.00 ,$700.00 ,L,,,,,,$700.00 ,$31.29 ,1/4/2026 0:00,#REF!,#REF!,#REF!,#REF!,2026:01:04:23:23:45,$130.00 ,"$1,000.00 ",$111.00 ,"$1,000.00 ",,,,,,,$106.00 ,$24.00 ,$138.00 ,$28.00 ,,,,,,,$100.00 ,$130.00 ,,,,,,,,,,,,,,,$125.00 ,$105.00 ,,,,
Memphis Grizzlies u224.5 L,LVti,1/4/2026,-162,150,-115,13.52%,7.23%,-154.5801527,1.87,#REF!,NBA,total,Los Angeles Lakers,"$1,150.00 ",$805.00 ,$805.00 ,L,,,,,,$805.00 ,$108.83 ,1/4/2026 0:00,#REF!,#REF!,#REF!,#REF!,2026:01:04:23:41:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ole Miss Rebels +3.5 L,FDmb,1/8/2026,105,-112,116,3.70%,1.71%,108.3018868,2.16,#REF!,NCAAF,spread,Miami Hurricanes,,$416.00 ,$0.00 ,W,,,,,,$482.56 ,$15.37 ,1/8/2026 0:00,#REF!,#REF!,#REF!,#REF!,2026:01:08:20:26:54,$110.00 ,"$20,000.00 ",$114.00 ,"$20,000.00 ",$107.00 ,$112.00 ,$108.00 ,$7.00 ,$113.00 ,$26.00 ,,,,,$112.00 ,"$2,800.00 ",$112.00 ,$102.00 ,$116.00 ,$152.00 ,,,$115.00 ,$115.00 ,$110.00 ,$99.00 ,$117.00 ,"$5,600.00 ",$106.00 ,"$1,900.00 ",$116.00 ,$289.00 ,,,,,$115.00 ,$145.00 ,$109.00 ,"$9,500.00 ",$120.00 ,"$10,000.00 "
Ole Miss Rebels +6.5 L,FDmb,1/8/2026,102,-123,138,12.57%,5.28%,111.4170404,2.38,#REF!,NCAAF,spread,Miami Hurricanes,,$360.00 ,$0.00 ,W,,,,,,$496.80 ,$45.27 ,1/8/2026 0:00,#REF!,#REF!,#REF!,#REF!,2026:01:08:21:03:11,$102.00 ,"$15,000.00 ",$123.00 ,"$15,000.00 ",$102.00 ,$124.00 ,,,,,,,,,$119.00 ,"$2,000.00 ",$142.00 ,"$1,500.00 ",$130.00 ,$170.00 ,$100.00 ,$130.00 ,$105.00 ,$125.00 ,,,,,,,,,,,,,$105.00 ,$135.00 ,,,,
Florida Panthers +1.5 L,FDmb,1/8/2026,326,-457,500,33.48%,5.58%,349.518851,6,#REF!,NHL,spread,Montreal Canadiens,,$75.00 ,$0.00 ,L,,,,,,$75.00 ,$25.11 ,1/8/2026 0:00,#REF!,#REF!,#REF!,#REF!,2026:01:08:21:27:47,$326.00 ,"$3,000.00 ",$457.00 ,"$3,000.00 ",,,"$1,567.00 ","$1,500.00 ","$9,900.00 ",$39.00 ,$405.00 ,$390.00 ,$578.00 ,"$1,700.00 ",,,,,$500.00 ,$850.00 ,,,$315.00 ,$475.00 ,,,,,,,,,,,,,,,,,,
Cleveland Cavaliers o256.5 L,LVti,1/8/2026,-109,-106,105,3.19%,1.56%,-101.3541573,2.05,#REF!,NBA,total,Minnesota Timberwolves,"$1,000.00 ",$700.00 ,$700.00 ,L,,,,,,$700.00 ,$22.33 ,1/8/2026 0:00,#REF!,#REF!,#REF!,#REF!,2026:01:08:21:40:10,$109.00 ,"$5,600.00 ",$107.00 ,"$5,600.00 ",,,,,,,$135.00 ,$285.00 ,$104.00 ,$242.00 ,,,,,$118.00 ,$104.00 ,$110.00 ,$120.00 ,$115.00 ,$115.00 ,$111.00 ,"$3,300.00 ",$112.00 ,"$1,500.00 ",$111.00 ,"$2,100.00 ",$110.00 ,"$1,000.00 ",$115.00 ,$115.00 ,,,$135.00 ,$100.00 ,,,,
