Bet,Team,Total,ExactBet,Date,Market,Other,LineTaken,Edge,BetType,RichStake,Grade,ExpProfit,Profit
403,Kent ,False,Kent State ml L,2026-02-11,-131,131,-105,10.7,moneyline,728.0,W,78,693
404,La ,False,La Salle +11.5 L,2026-02-11,-244,244,-175,11.5,spread,861.7,W,99,492
405,Memphis ,False,Memphis Grizzlies 1q ml L,2026-02-11,352,-352,400,10.6,moneyline,249.9,L,26,-249
405,Memphis ,False,Memphis Grizzlies +3.5 L,2026-02-11,210,-290,270,11.9,spread,323.4,L,38,-323
406,Miami ,False,Miami Heat 4q ml L,2026-02-11,188,-188,240,18.1,moneyline,72.8,W,13,174
406,Miami ,False,Miami Heat -9.5 L,2026-02-11,109,-109,128,9.1,spread,595.0,W,54,761
407,Philadelphia ,False,Philadelphia 76ers +21.5 L,2026-02-11,-163,130,-123,6.6,spread,3038.0,L,201,-3038
408,Portland ,False,Portland ml L,2026-02-11,-131,131,-106,10.2,moneyline,310.1,L,32,-310
409,Sacramento ,False,Sacramento Kings +27.5 L,2026-02-11,-100,100,123,11.5,spread,455.0,L,52,-455
409,Sacramento ,False,Sacramento Kings +26.5 L,2026-02-11,-131,131,-108,9.2,spread,626.5,L,58,-626
409,Sacramento ,False,Sacramento Kings +25.5 L,2026-02-11,109,-109,133,11.5,spread,438.2,L,50,-438
410,South ,True,South Florida u144.5 L,2026-02-11,-106,106,118,12.2,total,385.0,W,47,454
411,Texas ,False,Texas Tech -29.5 L,2026-02-11,-110,110,112,11.0,spread,937.3,W,103,1049
412,Western ,False,Western Michigan ml L,2026-02-11,447,-447,650,37.1,moneyline,126.0,L,47,-126
413,Alabama ,False,Alabama -2.5 L,2026-02-18,-116,-105,106,5.4,spread,2158.1,L,117,-2158
413,Alabama ,False,Alabama ml L,2026-02-18,132,-132,155,9.9,moneyline,1580.6,W,156,2449
414,Auburn ,False,Auburn ml L,2026-02-18,312,-312,340,6.8,moneyline,720.3,L,49,-720
414,Auburn ,False,Auburn ml L,2026-02-18,-187,187,-186,0.2,moneyline,4557.0,L,9,-4557
415,Boise ,False,Boise State +8.5 L,2026-02-18,-105,105,123,14.2,spread,621.6,L,88,-621
415,Boise ,False,Boise State +10.5 L,2026-02-18,-150,150,-120,10.0,spread,910.0,L,91,-910
416,Butler ,False,Butler -9.5 L,2026-02-18,-112,112,108,9.9,spread,2289.7,L,227,-2289
416,Butler ,False,Butler -8.5 L,2026-02-18,-135,135,-114,7.8,spread,2817.5,L,220,-2817
417,BYU ,False,BYU ml L,2026-02-18,606,-606,750,20.4,moneyline,326.2,L,67,-326
418,Clemson ,True,Clemson u146.5 L,2026-02-18,125,-125,116,-4.0,total,1297.8,L,-52,-1297
419,Creighton ,False,Creighton +14.5 L,2026-02-18,105,-105,133,13.7,spread,1341.2,W,184,1783
420,Duquesne ,False,Duquesne -12.5 L,2026-02-18,125,-125,116,-4.0,spread,648.2,L,-26,-648
421,James ,False,James Madison ml L,2026-02-18,-127,127,-112,5.9,moneyline,1413.3,W,83,1261
422,La ,True,La Salle o134.5 L,2026-02-18,-102,102,118,10.1,total,637.7,L,64,-637
423,Marquette ,False,Marquette +5.5 L,2026-02-18,-120,120,120,20.0,spread,632.1,L,126,-632
424,Missouri ,False,Missouri State +2.5 L,2026-02-18,-104,104,114,9.1,spread,665.7,L,61,-665
424,Missouri ,False,Missouri -10.5 L,2026-02-18,113,-113,135,10.3,spread,1814.4,L,187,-1814
425,ND ,False,ND State -8.5,2026-02-18,102,-102,102,0.0,,731.5,L,0,-731
426,Oklahoma ,False,Oklahoma State +16.5 L,2026-02-18,101,-101,118,8.5,spread,637.7,W,54,752
427,Oklahoma ,True,Oklahoma o158.5 L,2026-02-18,-103,103,132,17.7,total,1148.0,L,203,-1148
428,Ole ,True,Ole Miss u146.5 L,2026-02-18,121,-121,160,17.6,total,932.4,L,164,-932
