Unique Bet Rule 1,Team,Total?,Unnamed: 3,Bet,Book,Date,Market,Other    ,LineTaken   ,Edge  ,Ignore,TrueL,Decim,Betsize    ,Sport,Unnamed: 16,Opp,Total Stake,Rich Stake,Other Stake,Grade,CloseLine    ,CloseOther    ,Ignore.1,CloseEdge,Trueline,Net,ExpWinPlace,Date.1,RunExpWinPlace,RunNet,Bankroll,Kelly,Time,PIN M,PIN M$,PIN O,PIN O$,BM M,BM O,PM M,PM M$,PM O,PM O$,ST M,ST M$,ST O,ST O$,KAL M,KAL M$,KAL O,KAL O$,FD M,FD O,BOL M,BOL O,BOV M,BOV O,NV M,NV M$,NV O,NV O$,PX M,PX M$,PX O,PX O$,CZR M,CZR O,BM M$,BM O$,DK M,DK O,4C M,4C M$,4C O,4C O$
13,Trail ,0,2024-11,Trail Blazers 1h ml,PEmb,2024-11-01,254,-303,340,0.20166438513980584,0.045832814804501326,266.15880893300243,4.4,3588.1988805891147,NBA,moneyline,,,170.0,170.0,P,,,,,,0.0,34.28294547376699,2024-11-01,53763.72222895754,20991.876533333347,120991.8765333334,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Trail ,0,2024-11,Trail Blazers 1h ml,PEmb,2024-11-01,254,-303,265,-0.0031647714181155862,-0.0008670606624974209,266.15880893300243,3.65,-72.12484297110717,NBA,moneyline,,,408.7,408.7,P,,,,,,0.0,-1.29344207858384,2024-11-01,53777.47732458856,20786.501533333347,120786.5015333334,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Aldama ,1,2024-11,Aldama 3pt's o1.5,BRmb,2024-11-02,-118,-111,123,0.13089742545217503,0.058698397063755625,-102.89280105793863,2.23,5641.395773541129,NBA,total,,,44.245,44.245,L,,,,,,-44.245,5.791556589131484,2024-11-02,56012.19043719958,5976.431533333344,106020.67653333345,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Aldama ,1,2024-11,Aldama 3pt's o1.5,FWmb,2024-11-02,-118,-111,123,0.13089742545217503,0.058698397063755625,-102.89280105793863,2.23,5639.041482244735,NBA,total,,,44.245,44.245,L,,,,,,-44.245,5.791556589131484,2024-11-02,56017.98199378871,5932.186533333344,105976.43153333345,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Blazers ,0,2024-11,Blazers +19 L,FWmb,2024-11-02,-142,141,-117,0.08643272482237271,0.04660197605630234,-141.41322314049592,1.8547008547008548,5229.338777506205,NBA,spread,,,949.27,949.27,W,,,,,,811.34,82.04799269213375,2024-11-02,58288.17550023885,4233.286533333345,103421.94653333344,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Blazers ,0,2024-11,Blazers +19 L,BRmb,2024-11-02,-142,141,-125,0.05439046934374048,0.030216927413189154,-141.41322314049592,1.8,3543.310859867868,NBA,spread,,,702.0,702.0,W,,,,,,561.6,38.182109479305815,2024-11-02,58326.35760971816,4794.886533333345,104233.28653333343,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Blazers ,0,2024-11,Blazers +23.5 L,FWmb,2024-11-02,-132,112,-112,0.03488813468494625,0.01843146738072632,-120.62068965517243,1.8928571428571428,2063.3607481504696,NBA,spread,,,907.08,907.08,W,,,,,,809.89,31.646329210021044,2024-11-02,58451.98603354226,6420.9465333333455,105611.05653333344,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Blazers ,1,2024-11,Blazers u208 L,FWmb,2024-11-02,-141,110,120,0.21284676968907096,0.09674853167685044,-122.86307053941908,2.2,9293.855449396977,NBA,total,,,340.155,340.155,W,,,,,,408.19,72.40089294358593,2024-11-02,58398.758502661745,5203.076533333345,104794.88653333344,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Blazers ,1,2024-11,Blazers u207 L,FWmb,2024-11-02,-146,114,-115,0.04599770167204891,0.024603421824584304,-127.00813008130078,1.8695652173913042,2782.482344383151,NBA,total,,,469.18,469.18,W,,,,,,407.98,21.581201670491907,2024-11-02,58420.33970433224,5611.056533333345,105203.07653333344,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Blazers ,1,2024-11,Blazers o206 L,FWmb,2024-11-02,-138,115,-114,0.04163672693984832,0.022180312481975273,-124.66386554621849,1.8771929824561404,2525.681338148503,NBA,total,,,463.845,463.845,L,,,,,,-463.845,19.312987607413948,2024-11-02,58471.29902114968,5957.101533333345,106420.94653333344,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
