Bet,Team,Total,ExactBet,Date,Market,Other,LineTaken,Edge,BetType,RichStake,Grade,Profit
359,Texas ,True,Texas State u148.5 L,2026-01-24,-127,-104,120,15.1,total,262.5,W,315
360,Toledo ,False,Toledo ml L,2026-01-24,200,-265,255,11.7,moneyline,175.0,W,446
361,Towson ,True,Towson o148.5 L,2026-01-24,-106,-139,-105,-8.4,total,332.5,W,316
362,Tulsa ,True,Tulsa o154.5 L,2026-01-24,105,-105,118,6.3,total,262.5,W,309
362,Tulsa ,True,Tulsa o158.5 L,2026-01-24,-120,-110,120,12.2,total,262.5,W,315
363,UC ,False,UC Santa Barbara ml L,2026-01-24,-132,132,-115,6.4,moneyline,560.0,W,486
364,UT ,True,UT Rio Grande Valley u142.5 L,2026-01-24,-120,-110,116,10.2,total,262.5,W,304
365,Utah ,False,Utah +13.5 L,2026-01-24,-118,-101,117,12.5,spread,402.5,L,-402
365,Utah ,False,Utah +14.5 L,2026-01-24,-143,116,-110,6.8,spread,525.0,L,-525
365,Utah ,False,Utah +12.5 L,2026-01-24,-123,-107,125,16.1,spread,1288.0,L,-1288
365,Utah ,False,Utah +12.5 L,2026-01-24,-102,-122,133,11.6,spread,280.0,L,-280
366,Vanderbilt ,True,Vanderbilt u160.5 L,2026-01-24,150,-150,120,-12.0,total,262.5,W,315
367,VCU ,False,VCU ml L,2026-01-24,-139,124,-109,8.5,moneyline,437.5,W,401
367,VCU ,False,VCU +1.5 L,2026-01-24,-136,101,107,11.1,spread,455.0,W,486
368,Villanova ,False,Villanova +4.5 L,2026-01-24,-105,-143,120,2.4,spread,262.5,L,-262
368,Villanova ,False,Villanova ml L,2026-01-24,122,-119,140,8.8,moneyline,350.0,L,-350
369,Virginia ,True,Virginia Tech o142.5 L,2026-01-24,-118,-106,114,9.7,total,262.5,W,299
370,Wake ,True,Wake Forest u157.5 L,2026-01-24,-101,-118,123,7.4,total,227.5,L,-227
371,Washington ,True,Washington Wizards o244.5 L,2026-01-24,175,-200,220,12.9,total,542.5,L,-542
371,Washington ,True,Washington Wizards o239.5 L,2026-01-24,102,-125,125,6.0,total,980.0,L,-980
372,West ,True,West Virginia u141.5 L,2026-01-24,-185,127,-114,11.8,total,350.0,W,307
373,Western ,False,Western Michigan +1.5 L,2026-01-24,105,-105,116,5.4,spread,420.0,W,487
373,Western ,False,Western Michigan ml L,2026-01-24,111,-111,135,11.4,moneyline,350.0,W,472
374,Wichita ,False,Wichita State -15.5 L,2026-01-24,-133,-102,108,10.4,spread,280.0,L,-280
374,Wichita ,False,Wichita State -17.5 L,2026-01-24,-118,102,116,12.8,spread,262.5,L,-262
375,William ,False,William & Mary ml L,2026-01-24,102,-102,102,0.0,moneyline,472.5,W,481
376,Chicago ,False,Chicago Bulls ml L,2026-01-25,-342,285,-204,11.6,moneyline,5005.0,W,2453
377,Dallas ,False,Dallas Mavericks ml L,2026-01-25,-142,142,-115,9.7,moneyline,2520.0,L,-2520
378,Golden ,False,Golden State Warriors ml q4 L,2026-01-25,318,-318,360,10.0,moneyline,133.0,W,478
379,Golden ,True,Golden State Warriors u119.5 1h L,2026-01-25,-160,130,-114,10.0,total,910.0,W,798
379,Golden ,True,Golden State Warriors u118.5 1h L,2026-01-25,-150,150,-127,7.2,total,1015.0,W,799
379,Golden ,True,Golden State Warriors u56.5 1q L,2026-01-25,100,-110,123,8.9,total,770.0,W,947
379,Golden ,True,Golden State Warriors u57.51q  L,2026-01-25,-125,125,-106,8.0,total,1015.0,W,957
379,Golden ,True,Golden State Warriors o216.5 L,2026-01-25,165,-205,205,9.7,total,595.0,L,-595
379,Golden ,True,Golden State Warriors u203.5 L,2026-01-25,-109,-119,125,10.2,total,788.9,W,986
379,Golden ,True,Golden State Warriors u198.5 L,2026-01-25,120,-120,160,18.2,total,612.5,W,980
379,Golden ,True,Golden State Warriors u199.5 L,2026-01-25,100,-100,118,9.0,total,653.1,W,770
380,Los ,False,Los Angeles Clippers -33.5 L,2026-01-25,100,-100,117,8.5,spread,2082.5,W,2436
381,Miami ,False,Miami Heat -26.5 L,2026-01-25,100,-100,128,14.0,spread,1907.5,W,2441
382,Miami ,True,Miami Heat o240.5 L,2026-01-25,-140,100,112,14.2,total,1085.0,W,1215
382,Miami ,True,Miami Heat u256.5 L,2026-01-25,-130,-113,115,10.9,total,1050.0,L,-1050
382,Miami ,True,Miami Heat u254.5 L,2026-01-25,-135,123,102,13.4,total,1032.5,L,-1032
382,Miami ,True,Miami Heat o254.5 L,2026-01-25,107,-107,135,13.5,total,892.5,W,1204
383,Oklahoma ,False,Oklahoma City Thunder q2 ml L,2026-01-25,229,-310,300,14.7,moneyline,326.2,L,-326
383,Oklahoma ,False,Oklahoma City Thunder ml L,2026-01-25,100,109,155,30.3,moneyline,1590.4,L,-1590
384,Oregon ,False,Oregon +14.5 L,2026-01-25,-116,116,128,22.4,spread,402.5,L,-402
385,Oregon ,True,Oregon o129.5 L,2026-01-25,-111,-102,115,9.7,total,262.5,L,-262
386,Sacramento ,False,Sacramento Kings +19 L,2026-01-25,-120,-110,120,12.2,spread,1330.0,L,-1330
386,Sacramento ,False,Sacramento Kings +20 L,2026-01-25,-111,-120,150,22.7,spread,1050.0,L,-1050
386,Sacramento ,False,Sacramento Kings +19.5 L,2026-01-25,-112,-118,180,38.3,spread,910.0,L,-910
387,Sacramento ,True,Sacramento Kings u264 L,2026-01-25,-117,-109,133,18.4,total,700.0,W,931
388,Santa ,True,Santa Clara o152.5 L,2026-01-25,-112,-119,120,8.5,total,262.5,W,315
388,Santa ,True,Santa Clara o151.5 L,2026-01-25,-119,-111,123,13.3,total,245.0,W,301
389,Toronto ,False,Toronto Raptors +5.5 L,2026-01-25,125,-131,160,14.2,spread,1522.5,W,2436
390,Toronto ,True,Toronto Raptors o106.5 1h L,2026-01-25,-130,130,-112,7.0,total,912.8,L,-912
391,USC ,True,USC u147.5 L,2026-01-25,101,-150,123,1.1,total,787.5,W,968
392,Utah ,False,Utah Jazz +15.5 L,2026-01-25,-157,118,-104,12.0,spread,2572.5,L,-2572
392,Utah ,False,Utah Jazz +18.5 L,2026-01-25,-193,193,-149,10.1,spread,3675.0,L,-3675
393,Wisconsin ,False,Wisconsin -0.5 L,2026-01-25,-114,-114,118,9.0,spread,1347.5,L,-1347
394,Brooklyn ,True,Brooklyn Nets u213.5 L,2026-01-26,110,-116,140,12.8,total,875.0,L,-875
394,Brooklyn ,True,Brooklyn Nets u210.5 L,2026-01-26,150,-150,143,-2.8,total,840.0,L,-840
